Nombre de imagen,PID,Nombre de sesi�n,N�m. de sesi�n,Uso de memoria,Estado,Nombre de usuario,Tiempo de CPU,T�tulo de ventana
ArmourySwAgent.exe,1428,Console,4,3.204 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,N/D
asus_framework.exe,13976,Console,4,1.344 KB,Not Responding,DESKTOP-5I5ARKU\josga,0:00:00,OleMainThreadWndName
asus_framework.exe,23960,Console,4,1.236 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
Aac3572MbHal_x86.exe,5584,Console,4,10.408 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,OleMainThreadWndName
asus_framework.exe,9876,Console,4,896 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
TextInputHost.exe,25904,Console,4,61.884 KB,Running,DESKTOP-5I5ARKU\josga,0:00:02,Microsoft Text Input Application
nvsphelper64.exe,13488,Console,4,12.788 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,{1274D398-C3C8-422E-87DD-2FAFFD5A7F2F}
NVIDIA Share.exe,20528,Console,4,53.840 KB,Running,DESKTOP-5I5ARKU\josga,0:00:01,NVIDIA GeForce Overlay
NVIDIA Share.exe,24104,Console,4,33.124 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
NVIDIA Share.exe,10044,Console,4,53.272 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:01,N/D
SecurityHealthSystray.exe,17964,Console,4,9.352 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,N/D
RtkAudUService64.exe,24984,Console,4,9.540 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,RealtekAudioBackgroundProcessClass
vgtray.exe,26020,Console,4,8.668 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,N/D
OneDrive.exe,14240,Console,4,89.172 KB,Running,DESKTOP-5I5ARKU\josga,0:00:03,DDE Server Window
Razer Synapse 3.exe,23160,Console,4,107.964 KB,Running,DESKTOP-5I5ARKU\josga,0:00:04,Razer Synapse
Razer Central.exe,9108,Console,4,111.520 KB,Running,DESKTOP-5I5ARKU\josga,0:00:34,GDI+ Window (Razer Central.exe)
CefSharp.BrowserSubprocess.exe,13040,Console,4,49.532 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,N/D
CefSharp.BrowserSubprocess.exe,24296,Console,4,32.840 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
E_YATII5E.EXE,11032,Console,4,12.748 KB,Running,DESKTOP-5I5ARKU\josga,0:00:01,STM3 TrayIcon
CefSharp.BrowserSubprocess.exe,25208,Console,4,25.372 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
CefSharp.BrowserSubprocess.exe,3880,Console,4,31.020 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
CefSharp.BrowserSubprocess.exe,19020,Console,4,73.568 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:01,N/D
voicemeeterpro.exe,14824,Console,4,35.956 KB,Running,DESKTOP-5I5ARKU\josga,0:03:16,VoiceMeeter
jusched.exe,16916,Console,4,16.052 KB,Not Responding,DESKTOP-5I5ARKU\josga,0:00:00,OleMainThreadWndName
opera.exe,26144,Console,4,443.792 KB,Running,DESKTOP-5I5ARKU\josga,0:05:43,Cambiar JTextArea en NetBeans. - Opera
opera_crashreporter.exe,24500,Console,4,9.048 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,23664,Console,4,248.520 KB,Running,DESKTOP-5I5ARKU\josga,0:03:47,N/D
opera.exe,19824,Console,4,52.192 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:24,N/D
