"Nombre de imagen","PID","Nombre de sesi�n","N�m. de sesi�n","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","T�tulo de ventana"
"opera.exe","14860","Console","2","52.552 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:25","N/D"
"dllhost.exe","10996","Console","2","12.556 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"opera.exe","22944","Console","2","19.712 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","12508","Console","2","102.204 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","10548","Console","2","102.724 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","20776","Console","2","141.780 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:11","N/D"
"opera.exe","12284","Console","2","125.552 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:11","N/D"
"opera.exe","20948","Console","2","136.996 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:08","N/D"
"opera.exe","11408","Console","2","101.568 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","7108","Console","2","21.896 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"opera.exe","11944","Console","2","123.952 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:09","N/D"
"opera.exe","12268","Console","2","165.020 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:09","N/D"
"opera.exe","14908","Console","2","99.980 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","13596","Console","2","104.956 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","23444","Console","2","124.416 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"CompPkgSrv.exe","13256","Console","2","8.124 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"netbeans64.exe","21960","Console","2","1.325.696 KB","Running","DESKTOP-5I5ARKU\josga","0:11:51","ProcessManager - Apache NetBeans IDE 15"
"opera.exe","10252","Console","2","179.732 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:57","N/D"
"opera.exe","17268","Console","2","136.524 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:05","N/D"
"opera.exe","22812","Console","2","214.320 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:14","N/D"
"opera.exe","12680","Console","2","188.484 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:07","N/D"
"opera.exe","22032","Console","2","340.176 KB","Unknown","DESKTOP-5I5ARKU\josga","0:01:04","N/D"
"opera.exe","17512","Console","2","228.276 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:09","N/D"
"opera.exe","5416","Console","2","143.876 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:03","N/D"
"opera.exe","3532","Console","2","129.784 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:05","N/D"
"opera.exe","13840","Console","2","123.700 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:02","N/D"
"opera.exe","23332","Console","2","132.692 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:04","N/D"
"opera.exe","2876","Console","2","131.580 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:03","N/D"
